#Source: https://www.esrl.noaa.gov/psd/gcos_wgsp/Timeseries/Data/soi.long.data
#Detail: SOI
#Detail: Monthly time step
Year,Month,Value
1908,8,0.200
1908,9,1.670
1908,10,0.720
1908,11,0.090
1908,12,-0.710
1909,1,-0.300
1909,2,-0.400
1909,3,-0.150
1909,4,-1.780
1909,5,0.070
1909,6,2.630
1909,7,1.080
1909,8,0.890
1909,9,0.060
1909,10,0.200
1909,11,0.740
1909,12,0.410
1910,1,0.600
1910,2,1.420
1910,3,1.250
1910,4,0.390
1910,5,0.090
1910,6,2.490
1910,7,2.070
1910,8,0.890
1910,9,1.460
1910,10,1.040
1910,11,1.740
1910,12,1.660
1911,1,0.300
1911,2,0.010
1911,3,0.220
1911,4,0.050
1911,5,-0.740
1911,6,-1.550
1911,7,-1.260
1911,8,-1.410
1911,9,-0.880
1911,10,-1.300
1911,11,-0.810
1911,12,-0.270
1912,1,-1.110
1912,2,-1.830
1912,3,-1.140
1912,4,-2.270
1912,5,-1.120
1912,6,-0.990
1912,7,-0.050
1912,8,-0.940
1912,9,-0.400
1912,10,-0.970
1912,11,0.120
1912,12,-1.010
1913,1,-0.410
1913,2,-0.630
1913,3,0.010
1913,4,-0.790
1913,5,-0.560
1913,6,-0.600
1913,7,-0.120
1913,8,-0.920
1913,9,-0.950
1913,10,-1.020
1913,11,-1.250
1913,12,-0.890
1914,1,-0.740
1914,2,0.180
1914,3,0.880
1914,4,-2.270
1914,5,-1.210
1914,6,-2.640
1914,7,-0.970
1914,8,-1.840
1914,9,-1.470
1914,10,-0.730
1914,11,-0.470
1914,12,0.170
1915,1,-2.710
1915,2,-0.590
1915,3,-2.490
1915,4,-1.490
1915,5,1.220
1915,6,2.680
1915,7,2.530
1915,8,1.300
1915,9,1.340
1915,10,0.950
1915,11,-1.740
1915,12,0.990
1916,1,0.560
1916,2,-0.520
1916,3,-0.830
1916,4,0.010
1916,5,0.430
1916,6,0.750
1916,7,2.570
1916,8,1.510
1916,9,0.420
1916,10,0.360
1916,11,0.770
1916,12,1.620
1917,1,0.460
1917,2,0.980
1917,3,1.860
1917,4,2.580
1917,5,2.400
1917,6,2.390
1917,7,2.830
1917,8,3.480
1917,9,2.840
1917,10,1.510
1917,11,1.930
1917,12,2.400
1918,1,1.460
1918,2,1.580
1918,3,-0.390
1918,4,2.070
1918,5,1.090
1918,6,-0.780
1918,7,-1.380
1918,8,-0.640
1918,9,-0.850
1918,10,-0.620
1918,11,0.020
1918,12,-1.000
1919,1,-1.620
1919,2,-1.190
1919,3,-1.570
1919,4,-0.370
1919,5,-0.960
1919,6,-1.460
1919,7,-0.870
1919,8,-0.900
1919,9,-0.590
1919,10,-1.250
1919,11,-1.230
1919,12,-1.120
1920,1,0.180
1920,2,-0.290
1920,3,-0.630
1920,4,-0.100
1920,5,-0.400
1920,6,0.400
1920,7,0.920
1920,8,0.440
1920,9,0.470
1920,10,-0.690
1920,11,-0.190
1920,12,0.990
1921,1,1.090
1921,2,0.580
1921,3,1.070
1921,4,-1.280
1921,5,-0.010
1921,6,4.070
1921,7,0.290
1921,8,-0.880
1921,9,0.460
1921,10,0.970
1921,11,0.760
1921,12,0.810
1922,1,0.780
1922,2,0.770
1922,3,0.480
1922,4,-0.690
1922,5,-0.760
1922,6,0.450
1922,7,0.230
1922,8,-0.280
1922,9,0.460
1922,10,0.550
1922,11,0.760
1922,12,1.210
1923,1,0.560
1923,2,0.340
1923,3,0.840
1923,4,0.810
1923,5,-0.010
1923,6,-0.170
1923,7,-1.110
1923,8,-2.140
1923,9,-1.460
1923,10,-0.720
1923,11,-1.410
1923,12,0.130
1924,1,-0.680
1924,2,0.010
1924,3,0.110
1924,4,-1.950
1924,5,1.190
1924,6,0.840
1924,7,0.780
1924,8,0.880
1924,9,0.740
1924,10,0.630
1924,11,1.020
1924,12,0.480
1925,1,0.540
1925,2,1.220
1925,3,1.520
1925,4,1.480
1925,5,-0.300
1925,6,-0.820
1925,7,-1.310
1925,8,-1.240
1925,9,-0.660
1925,10,-1.500
1925,11,-0.970
1925,12,-0.890
1926,1,-0.620
1926,2,-1.560
1926,3,-1.650
1926,4,-0.750
1926,5,-0.280
1926,6,-1.050
1926,7,-0.090
1926,8,-0.920
1926,9,0.120
1926,10,0.240
1926,11,0.070
1926,12,0.590
1927,1,0.510
1927,2,0.010
1927,3,1.840
1927,4,0.750
1927,5,0.620
1927,6,0.910
1927,7,0.170
1927,8,-0.750
1927,9,-0.070
1927,10,-0.550
1927,11,-0.910
1927,12,0.750
1928,1,-1.220
1928,2,0.950
1928,3,1.380
1928,4,1.440
1928,5,-0.090
1928,6,-1.150
1928,7,-0.020
1928,8,0.800
1928,9,0.740
1928,10,0.770
1928,11,0.210
1928,12,1.200
1929,1,1.740
1929,2,1.690
1929,3,0.410
1929,4,0.580
1929,5,-1.200
1929,6,0.060
1929,7,0.210
1929,8,-0.170
1929,9,-0.070
1929,10,0.800
1929,11,0.950
1929,12,0.530
1930,1,1.310
1930,2,0.680
1930,3,0.040
1930,4,-0.330
1930,5,0.470
1930,6,-0.840
1930,7,-0.400
1930,8,-0.390
1930,9,-0.720
1930,10,0.460
1930,11,0.300
1930,12,-0.270
1931,1,0.630
1931,2,-1.610
1931,3,0.440
1931,4,1.100
1931,5,1.660
1931,6,2.230
1931,7,0.980
1931,8,-0.500
1931,9,0.350
1931,10,-1.000
1931,11,-0.370
1931,12,0.810
1932,1,0.210
1932,2,-0.360
1932,3,-0.720
1932,4,-2.760
1932,5,0.090
1932,6,-0.260
1932,7,-1.520
1932,8,-0.900
1932,9,-0.860
1932,10,-0.690
1932,11,-0.610
1932,12,0.250
1933,1,-1.220
1933,2,0.340
1933,3,-0.350
1933,4,0.470
1933,5,0.740
1933,6,-0.680
1933,7,0.380
1933,8,-0.230
1933,9,0.170
1933,10,0.170
1933,11,0.530
1933,12,0.810
1934,1,0.620
1934,2,-0.060
1934,3,-0.120
1934,4,0.640
1934,5,-0.760
1934,6,1.120
1934,7,0.300
1934,8,-2.440
1934,9,-0.640
1934,10,0.380
1934,11,1.210
1934,12,-0.380
1935,1,0.640
1935,2,-0.560
1935,3,1.210
1935,4,0.370
1935,5,-0.460
1935,6,-0.420
1935,7,-0.020
1935,8,0.000
1935,9,0.590
1935,10,0.600
1935,11,0.300
1935,12,-0.560
1936,1,-0.300
1936,2,-0.040
1936,3,0.050
1936,4,2.810
1936,5,0.270
1936,6,-0.370
1936,7,0.430
1936,8,-1.000
1936,9,0.230
1936,10,-0.110
1936,11,-1.550
1936,12,-0.040
1937,1,0.950
1937,2,-0.590
1937,3,0.550
1937,4,0.180
1937,5,0.190
1937,6,0.220
1937,7,-0.530
1937,8,0.200
1937,9,0.040
1937,10,-0.390
1937,11,-0.460
1937,12,0.640
1938,1,0.750
1938,2,0.210
1938,3,-0.550
1938,4,0.390
1938,5,1.180
1938,6,2.010
1938,7,1.870
1938,8,1.240
1938,9,0.690
1938,10,1.370
1938,11,-0.070
1938,12,1.420
1939,1,1.740
1939,2,0.660
1939,3,1.140
1939,4,1.130
1939,5,-0.100
1939,6,-0.370
1939,7,0.840
1939,8,-0.110
1939,9,-0.950
1939,10,-1.710
1939,11,-0.960
1939,12,-1.070
1940,1,-0.060
1940,2,-0.560
1940,3,-1.340
1940,4,-0.940
1940,5,-1.390
1940,6,-2.490
1940,7,-1.500
1940,8,-2.110
1940,9,-1.950
1940,10,-1.800
1940,11,-0.770
1940,12,-3.380
1941,1,-1.130
1941,2,-1.600
1941,3,-1.330
1941,4,-1.190
1941,5,-0.750
1941,6,-1.890
1941,7,-2.000
1941,8,-2.200
1941,9,-0.830
1941,10,-2.290
1941,11,-1.090
1941,12,-1.070
1942,1,-1.510
1942,2,-0.510
1942,3,-0.800
1942,4,-0.520
1942,5,0.250
