climate_index,DatasetID,ccf,catchment,Proxy_Timespan,StartYear,EndYear,maxcorr,lag_match
spei_48m__1yr_wy7,Dataset_439,0.559096263,brisbane,2079.1,-95.1,1984,0.559096263,-4
spei_48m__1yr_wy7,Dataset_539,0.558150141,brisbane,2078.7,-95.3,1983.4,0.558150141,-4
spei_48m__1yr_wy7,Dataset_392.3,0.475174318,brisbane,587.32,1423.23,2010.55,0.475174318,5
spei_48m__1yr_wy7,Dataset_465,0.468835907,brisbane,1278.3,718.1,1996.4,0.468835907,-5
spei_48m__1yr_wy7,Dataset_464,0.398885797,brisbane,1278.3,718.1,1996.4,0.398885797,-5
spei_48m__1yr_wy7,Dataset_586,0.396279918,brisbane,443,1551,1994,0.396279918,-4
spei_48m__1yr_wy7,Dataset_242,0.388900335,brisbane,225,1776,2001,0.388900335,0
spei_48m__1yr_wy7,Dataset_466,0.377048132,brisbane,1278.3,718.1,1996.4,0.377048132,-5
spei_48m__1yr_wy7,Dataset_455,0.374638485,brisbane,551,1445.5,1996.5,0.374638485,1
spei_48m__1yr_wy7,Dataset_236,0.37416441,brisbane,528,1463,1991,0.37416441,-5
spei_48m__1yr_wy7,Dataset_240,0.362886085,brisbane,374,1607,1981,0.362886085,4
spei_48m__1yr_wy7,Dataset_437,0.362687786,brisbane,861,1144,2005,0.362687786,-5
spei_48m__1yr_wy7,Dataset_200,0.350124176,brisbane,776,1227,2003,0.350124176,2
spei_48m__1yr_wy7,Dataset_391.3,0.350124176,brisbane,776,1227,2003,0.350124176,2
spi_12m__1yr_wy7__QFCD_W3,Dataset_242,0.395204526,brisbane,225,1776,2001,0.395204526,-1
spi_12m__1yr_wy7,Dataset_269,0.418196454,brisbane,373,1612,1985,0.418196454,-1
spi_12m__1yr_wy7,Dataset_8,0.405708579,brisbane,346,1639,1985,0.405708579,-1
spi_12m__1yr_wy7,Dataset_11,0.39585018,brisbane,323,1661,1984,0.39585018,-1
spi_12m__1yr_wy7,Dataset_242,0.381710945,brisbane,225,1776,2001,0.381710945,-1
spi_12m__1yr_wy7,Dataset_144.2,0.359837957,brisbane,389.9609807,1572.984119,1962.9451,0.359837957,2
spi_12m__1yr_wy7,Dataset_224,0.354413489,brisbane,371,1615,1986,0.354413489,-2
avg_temp__1yr_wy7,Dataset_497,0.527467262,daintree,306.8,1663.9,1970.7,0.527467262,3
avg_temp__1yr_wy7,Dataset_392.3,0.411536181,daintree,587.32,1423.23,2010.55,0.411536181,5
avg_temp__1yr_wy7,Dataset_144.2,0.405563528,daintree,389.9609807,1572.984119,1962.9451,0.405563528,1
avg_temp__1yr_wy7,Dataset_340,0.372951176,daintree,3712,-1704,2008,0.372951176,1
avg_temp__1yr_wy7,Dataset_578,0.365922367,daintree,1381.8,627.5,2009.3,0.365922367,4
avg_temp__1yr_wy7,Dataset_144.4,0.353421759,daintree,389.9609807,1572.984119,1962.9451,0.353421759,0
avg_temp__1yr_wy7,Dataset_216,0.35296726,daintree,365,1625,1990,0.35296726,-3
et_morton_potential__1yr_wy7,Dataset_240,0.532684506,daintree,374,1607,1981,0.532684506,2
et_morton_potential__1yr_wy7,Dataset_465,0.510476769,daintree,1278.3,718.1,1996.4,0.510476769,-4
et_morton_potential__1yr_wy7,Dataset_464,0.507401272,daintree,1278.3,718.1,1996.4,0.507401272,-4
et_morton_potential__1yr_wy7,Dataset_375,0.502569018,daintree,275.1,1711.5,1986.6,0.502569018,-2
