long,lat,order,hole,piece,group,id
151.90519296,-27.24781116,140,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.04110053,-27.29720757,141,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.07187641,-27.34800662,142,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.99123886,-27.44603844,143,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.94206048,-27.47348113,144,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.98607892,-27.59225116,145,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.98326012,-27.64662591,146,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.00169441,-27.74739202,147,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.07875366,-27.81822249,148,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.14723748,-27.86136847,149,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.18902291,-27.92440141,150,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.27834829,-27.96874225,151,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.36234401,-27.96224778,152,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.37516189,-28.01155173,153,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.41735716,-28.07124021,154,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.44738537,-28.18972127,155,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.47385277,-28.20690509,156,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.48791302,-28.25297394,157,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.3898208,-28.36509959,158,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.3106203,-28.36287539,159,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.21854898,-28.4484056,160,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.16384166,-28.43214506,161,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.06980722,-28.46803857,162,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
152.01629871,-28.52437189,163,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.95885068,-28.51655691,164,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.85353253,-28.50170134,165,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.73399764,-28.39444023,166,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.70970889,-28.33671358,167,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.6414466,-28.28051769,168,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.54765623,-28.28662817,169,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.48190728,-28.22264526,170,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.44718212,-28.16466231,171,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.44433104,-28.10486514,172,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.3698931,-28.07337984,173,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.2960585,-28.00581859,174,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.24020792,-28.00707883,175,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.08133493,-27.74094232,176,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.07256194000001,-27.64057821,177,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.09229865,-27.59491112,178,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.02444394,-27.56853051,179,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.92461859,-27.58951421,180,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.83688028,-27.52806032,181,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.80126479,-27.41914194,182,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.84673272,-27.33078266,183,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.78378541,-27.27402699,184,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.63215888,-27.32169032,185,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.54031881,-27.36013038,186,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.49461438,-27.36165843,187,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.4043807,-27.43513669,188,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.31234206,-27.47851492,189,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.2004186,-27.49871908,190,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.12702724,-27.49910743,191,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.00105648,-27.52713594,192,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.94983017,-27.5167662,193,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.66223389,-27.51466726,194,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.6581276,-27.48009516,195,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.54877596,-27.47316684,196,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.45416882,-27.39940137,197,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.40666019,-27.42089513,198,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.2900152,-27.39690426,199,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.2657925,-27.50196367,200,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.18491724,-27.61459178,201,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.11075892,-27.68279116,202,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.00593116,-27.61268091,203,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.96267836,-27.61596004,204,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.9448941,-27.70766258,205,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.90550058,-27.75926071,206,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.82743577,-27.77871381,207,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.85084882,-27.85615648,208,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.70658126,-28.24646957,209,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.67103187,-28.26762684,210,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.68038037,-28.39512181,211,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.72360068,-28.47856487,212,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.74084623,-28.54941756,213,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.72179584,-28.60012404,214,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.65289696,-28.63112203,215,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.58256127,-28.80724461,216,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.55379664,-28.90356255,217,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.50061424,-28.99905751,218,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.73863816,-28.99908494,219,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.10542323,-28.99910026,220,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.0758798,-29.0498808,221,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.02282291,-29.0813969,222,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.90346664,-29.24972388,223,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.76986016,-29.34586837,224,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.74032309,-29.2812444,225,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.66459899,-29.28501147,226,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.60096778,-29.36470198,227,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.55101212,-29.22593874,228,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.46793696,-29.22004644,229,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.42037708,-29.13514877,230,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.35951984,-29.09946719,231,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.2433562,-29.0610108,232,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.21639616,-28.99975679,233,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.14186152,-29.01303908,234,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.09235183,-28.91435243,235,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.13126389,-28.83518214,236,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.1611066,-28.739069,237,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.19099716,-28.69630811,238,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.16662809,-28.64525279,239,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.11092379,-28.59732798,240,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.0609791,-28.57842283,241,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.03844838,-28.54043612,242,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.96125516,-28.47445957,243,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.91170738,-28.39690094,244,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.87350827,-28.28640676,245,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.85845986,-28.20474474,246,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.87187071,-28.10205808,247,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.86872162,-27.96519533,248,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.79236888,-27.90767106,249,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.77613148,-27.81616776,250,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.84127877,-27.70654939,251,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.85512257,-27.57700021,252,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.88115291,-27.52743853,253,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
145.93198547,-27.49183321,254,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.05973933,-27.4471386,255,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.07059309,-27.37652467,256,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.03347324,-27.28212236,257,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.0555797,-27.207791,258,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.12109671,-27.14556117,259,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.18701109,-27.15201921,260,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.19770288,-27.09010918,261,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.28408727,-27.08123577,262,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.29288519,-27.01454327,263,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.33068004,-26.946813,264,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.39349956,-26.93892562,265,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.43190487,-26.8824163,266,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.43193069,-26.79937151,267,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.46002512,-26.74527578,268,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.60641577,-26.72396386,269,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.62838784,-26.69426436,270,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.71722279,-26.63935492,271,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.80236557999999,-26.62932352,272,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.83997837,-26.67049718,273,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.90031087,-26.67840077,274,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.93313142,-26.60812236,275,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
146.97120191,-26.64545841,276,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.02411878,-26.6558359,277,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.0702147,-26.62900107,278,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.11246468,-26.51832303,279,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.1807315,-26.51108222,280,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.24472549,-26.4584828,281,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.31462424,-26.37176659,282,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.33297958,-26.29119436,283,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.39210634,-26.2654924,284,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.38655149,-26.18522742,285,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.45516886,-26.1343484,286,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.44017409,-25.97164672,287,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.40600111,-25.97356773,288,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.34949926,-25.92907066,289,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.26538703,-25.89881938,290,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.25426184,-25.79061693,291,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.27098781,-25.74763991,292,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.32100673,-25.73771564,293,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.38959149,-25.59133763,294,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.46409949,-25.55692357,295,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.49123458,-25.38200538,296,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.66925431,-25.25785271,297,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.74153196,-25.19860704,298,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.75282752,-25.15626642,299,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.71712238,-25.09480971,300,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.74599119,-25.03951623,301,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.80822961,-24.9767104,302,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.9207866,-24.91899323,303,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
147.94940309,-24.87927904,304,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.05706293,-24.91300398,305,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.08955512,-25.00938382,306,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.15132889,-25.06262868,307,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.2052113,-25.08008447,308,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.29217287,-25.16234304,309,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.30420913,-25.21295788,310,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.36001538,-25.23374721,311,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.38670701,-25.28708621,312,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.35394772,-25.34391862,313,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.35729576,-25.38114248,314,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.4022512,-25.43151793,315,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.39396193,-25.46778538,316,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.32964391,-25.5416908,317,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.30166341,-25.62532137,318,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.32021354,-25.71586841,319,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.26008579,-25.76601562,320,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.25371979,-25.82355086,321,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.28099426,-25.89633424,322,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.24318869,-25.9560705,323,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.24939783,-26.0641923,324,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.34210128,-26.0333785,325,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.37377241,-26.00523287,326,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.48771093,-26.03268572,327,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.66804893,-26.02572058,328,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.7084391,-26.04342444,329,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.71776276,-26.12380344,330,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.74187481,-26.1563437,331,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.82095814,-26.184398,332,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.85214594,-26.17763598,333,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.90653913,-26.2225741,334,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.99475013,-26.24910366,335,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
148.99756669,-26.30459384,336,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.0809489,-26.2719837,337,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.12137536,-26.27484767,338,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.19181249,-26.31862942,339,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.31990682,-26.28245699,340,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.41409873999999,-26.28057408,341,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.44871528,-26.32394691,342,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.54781031,-26.32803163,343,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.63344177,-26.36254443,344,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
149.72257281,-26.33503076,345,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
