year,climate_variable_recon,lower,upper,climate_variable_recon_scale,lower_scale,upper_scale
1782,738.25,545.94,1001.24,-0.74,-2.16,0.49
1783,768.48,565.65,1057.58,-0.56,-1.98,0.7
1784,789.28,600.73,1061.21,-0.45,-1.69,0.71
1785,908.37,660.22,1272.47,0.12,-1.24,1.34
1786,951.5,694.82,1319.55,0.3,-1.01,1.46
1787,1091.48,785.55,1518.85,0.81,-0.47,1.9
1788,841.8,611.92,1133.22,-0.18,-1.6,0.94
1789,965.67,722.72,1323.38,0.36,-0.83,1.47
1790,869.2,635.82,1200.89,-0.05,-1.42,1.15
1791,830.71,620.36,1100.38,-0.24,-1.53,0.84
1792,701.22,537.77,939.55,-0.97,-2.24,0.25
1793,724.24,562.86,966.38,-0.82,-2.01,0.36
1794,1348.25,926.47,1986.87,1.53,0.2,2.66
1795,825.2,596.39,1145.89,-0.27,-1.72,0.98
1796,812.19,591.81,1126.15,-0.33,-1.76,0.92
1797,824.46,609.79,1124.44,-0.27,-1.62,0.92
1798,740.76,559.3,986.81,-0.72,-2.04,0.44
1799,803.41,607.01,1066.87,-0.38,-1.64,0.73
1800,1318.29,916.31,1897.66,1.46,0.16,2.54
1801,1055.06,754.09,1464.49,0.69,-0.65,1.79
1802,779.14,567.79,1062.27,-0.51,-1.96,0.71
1803,748.74,545.98,1045.9,-0.68,-2.16,0.66
1804,731.47,552.01,998.11,-0.78,-2.11,0.48
1805,814.11,601.16,1107.97,-0.32,-1.68,0.86
1806,845.7,615.02,1195.99,-0.16,-1.57,1.13
1807,898.32,641.55,1258.83,0.08,-1.37,1.3
1808,841.59,603.68,1194.21,-0.18,-1.66,1.13
1809,1038.66,730.6,1500.03,0.63,-0.78,1.86
1810,942.38,694.23,1302.41,0.26,-1.01,1.42
1811,766.95,565.92,1044.34,-0.57,-1.98,0.65
1812,779.73,583.16,1050.18,-0.5,-1.83,0.67
1813,938.96,675.73,1313.08,0.25,-1.13,1.44
1814,781.63,593.13,1051.57,-0.49,-1.75,0.68
1815,868.21,637.23,1211.8,-0.06,-1.41,1.18
1816,1491.2,1047.22,2131.19,1.85,0.66,2.85
1817,742.22,552.86,1005.61,-0.72,-2.1,0.51
1818,1130.06,808.92,1590.67,0.93,-0.35,2.04
1819,873.19,631.01,1228.41,-0.04,-1.45,1.22
1820,779.19,588.63,1050.07,-0.51,-1.79,0.67
1821,815.42,603.76,1125.16,-0.31,-1.66,0.92
1822,754.87,568.92,996.02,-0.64,-1.95,0.48
1823,784.9,592.74,1060.55,-0.47,-1.75,0.71
1824,911.94,654.03,1254.57,0.14,-1.28,1.29
1825,986.74,728.89,1381.77,0.44,-0.79,1.61
1826,802.52,604.99,1092.08,-0.38,-1.65,0.81
1827,816.02,605.59,1089.38,-0.31,-1.65,0.8
1828,784.78,542.61,1109.63,-0.48,-2.19,0.87
1829,786.61,564.61,1112.39,-0.47,-1.99,0.88
1830,1169.42,824.59,1682.49,1.05,-0.27,2.2
1831,836.85,629.88,1136.53,-0.21,-1.46,0.95
1832,800.1,572.49,1135.11,-0.39,-1.92,0.95
1833,799.73,559.6,1134.75,-0.4,-2.04,0.95
1834,851.95,623.68,1162.47,-0.14,-1.51,1.03
1835,842.64,615.98,1161.49,-0.18,-1.57,1.03
1836,834.18,627.37,1108.87,-0.22,-1.48,0.87
1837,1172.24,817.39,1696.47,1.06,-0.3,2.23
1838,785.64,577,1091.41,-0.47,-1.88,0.81
1839,1102.93,795.33,1535.3,0.85,-0.42,1.93
1840,917.81,651.63,1284.57,0.16,-1.3,1.37
1841,826.43,616.05,1118.67,-0.26,-1.57,0.9
1842,797.49,546.87,1154.32,-0.41,-2.15,1.01
1843,821.35,609.69,1126.64,-0.28,-1.62,0.92
1844,734.95,549.9,995.07,-0.76,-2.13,0.47
1845,792.55,554.39,1101.11,-0.43,-2.08,0.84
1846,928.12,672.89,1272.03,0.21,-1.15,1.34
1847,917.32,658.48,1269.57,0.16,-1.25,1.33
1848,811.79,602.05,1103.97,-0.33,-1.68,0.85
